2021-04-08T00:00:00Z;1;20,5;
2021-04-08T01:06:40Z;2;25,0;
2021-04-10T01:06:40Z;3;18,7;
2021-04-15T01:06:40Z;4;22,3;
2021-04-20T01:06:40Z;5;19,9;
2021-04-21T13:00:00Z;6;20,0;
2021-04-24T01:00:00Z;7;23,1;
2021-04-25T13:00:00Z;8;24,5;
2021-04-26T00:00:00Z;9;21,3;
2021-04-27T02:00:00Z;10;19,7;
2021-04-29T16:00:00Z;11;20,8;
2021-04-30T13:00:00Z;12;24,1;
2021-05-03T01:00:00Z;13;22,6;
2021-05-04T00:00:00Z;14;21,4;
2021-05-06T16:00:00Z;15;23,9;
2021-05-07T00:00:00Z;16;20,1;
2021-05-09T16:00:00Z;17;21,8;
2021-05-12T17:00:00Z;18;22,2;
2021-05-15T16:00:00Z;19;23,0;
