1;1;1;438,0;2021-04-08T00:00:00Z;2021-04-09T00:00:00Z;1;
2;2;3;279,0;2021-04-08T01:06:40Z;2021-04-08T20:00:00Z;1;
3;3;5;34,0;2021-04-10T01:06:40Z;2021-04-11T00:00:00Z;1;
4;4;7;350,0;2021-04-15T01:06:40Z;2021-04-17T16:00:00Z;1;
5;5;9;222,0;2021-04-20T01:06:40Z;2021-04-21T13:00:00Z;1;
6;6;11;77,0;2021-04-21T13:00:00Z;2021-04-24T17:00:00Z;1;
7;7;13;465,0;2021-04-24T01:00:00Z;2021-04-25T13:00:00Z;1;
8;8;15;398,0;2021-04-25T13:00:00Z;2021-04-26T00:00:00Z;1;
9;9;17;345,0;2021-04-26T00:00:00Z;2021-04-27T02:00:00Z;1;
10;10;19;100,0;2021-04-27T02:00:00Z;2021-04-29T16:00:00Z;1;
11;1;2;192,0;2021-04-29T16:00:00Z;2021-04-30T13:00:00Z;1;
12;2;4;243,0;2021-04-30T13:00:00Z;2021-05-03T01:00:00Z;1;
13;3;6;113,0;2021-05-03T01:00:00Z;2021-05-04T00:00:00Z;1;
14;4;8;393,0;2021-05-04T00:00:00Z;2021-05-06T16:00:00Z;1;
15;5;10;29,0;2021-05-06T16:00:00Z;2021-05-07T00:00:00Z;1;
16;6;12;267,0;2021-05-07T00:00:00Z;2021-05-09T16:00:00Z;1;
17;7;14;402,0;2021-05-09T16:00:00Z;2021-05-12T17:00:00Z;1;
18;8;16;43,0;2021-05-12T17:00:00Z;2021-05-15T16:00:00Z;1;
19;9;18;149,0;2021-05-15T16:00:00Z;2021-05-16T00:00:00Z;1;
20;10;1;288,0;2021-05-16T00:00:00Z;2021-05-16T14:00:00Z;1;
