1;2;50,0;
1;4;180,0;
2;3;313,0;
2;7;73,0;
2;10;169,0;
3;13;48,0;
3;16;78,0;
4;8;85,0;
4;11;82,0;
5;19;24,0;
6;12;126,0;
7;15;65,0;
8;14;100,0;
9;18;149,0;
10;11;59,0;
11;16;60,0;
12;20;67,0;
13;17;35,0;
14;15;65,0;
15;17;36,0;
16;19;124,0;
17;20;73,0;
18;20;158,0;
1;6;216,0;
1;7;72,0;
2;14;128,0;
3;9;134,0;
4;19;163,0;
5;7;1195,0;
6;14;105,0;
7;11;98,0;
8;10;120,0;
9;10;200,0;
10;18;185,0;
11;13;158,0;
12;15;158,0;
13;16;54,0;
14;18;165,0;
15;19;398,0;
16;18;123,0;
17;18;274,0;
19;20;285,0;
20;1;300,0;
20;2;400,0;
20;3;500,0;
19;1;350,0;
19;2;450,0;
19;3;550,0;
18;1;400,0;
18;2;500,0;
18;3;600,0;
17;1;450,0;
17;2;550,0;
17;3;650,0;
16;1;500,0;
16;2;600,0;
16;3;700,0;
15;1;550,0;
15;2;650,0;
15;3;750,0;
14;1;600,0;
14;2;700,0;
14;3;800,0;
13;1;650,0;
13;2;750,0;
13;3;850,0;
12;1;700,0;
12;2;750,0;
12;3;800,0;
11;1;720,0;
11;2;770,0;
11;3;820,0;
10;1;740,0;
10;2;790,0;
10;3;840,0;
9;1;760,0;
9;2;810,0;
9;3;860,0;
8;1;780,0;
8;2;830,0;
8;3;880,0;
7;1;800,0;
7;2;850,0;
7;3;900,0;
6;1;820,0;
6;2;870,0;
6;3;920,0;
5;1;840,0;
5;2;890,0;
5;3;940,0;
4;1;860,0;
4;2;910,0;
4;3;960,0;
